Country,Defence budget per capita,Year,Defence budget % GDP,Active Armed Forces,Population,GDP (2015 USD),Unemployment rate,Secondary education attainment rate,GDP per capita,GDP per capita % change,Defence budget per capita % change,Defence budget % GDP % change,Active Armed Forces per capita
Netherlands,496.8009385999218,2016,1.16,35.0,17030314.0,794549918798.828,6.007,69.9899978637695,46655.036354516305,1.8806531808692517,0.4498950642898958,-0.8547008547008517,2.055158818563181e-06
Netherlands,542.1329211746522,2017,1.21,35.0,17131296.0,816650691068.16,4.837,70.5940017700195,47670.10569825891,2.1756908215212256,9.124777964889619,4.31034482758621,2.0430444958746847e-06
Netherlands,573.6974169741698,2018,1.23,35.0,17231624.0,835096710123.568,3.832,71.0999984741211,48463.02995722098,1.6633574592452183,5.822279844420075,1.6528925619834656,2.031149240489463e-06
Netherlands,566.7919371370003,2019,1.32,35.0,17344874.0,854304699361.253,3.379,71.4319534301758,49254.01587588662,1.6321429332087911,-1.203679785345857,7.317073170731714,2.0178872443812505e-06
Netherlands,567.0265835247785,2020,1.39,34.0,17441500.0,821260591753.75,3.82,72.9599990844727,47086.580383209584,-4.400525427487323,0.04139903417883506,5.303030303030298,1.9493736203881545e-06
Netherlands,605.1546063117628,2021,1.35,34.0,17533044.0,872809728969.262,4.209,73.850830078125,49780.84404335391,5.721935290728952,6.724203748961988,-2.877697841726601,1.9391954985112682e-06
Netherlands,641.9515978901644,2022,1.45,34.0,17700982.0,916513359627.026,3.526,74.0509719848633,51777.54316834094,4.010978848104951,6.080593487120312,7.407407407407396,1.920797388529066e-06
Netherlands,692.6900403350916,2023,1.44,34.0,17877117.0,917196718601.978,3.537,74.0509719848633,51305.62822864436,-0.9114278330323078,7.903780068728539,-0.6896551724137945,1.901872656536286e-06
Netherlands,976.5311821284516,2024,1.94,34.0,17877117.0,917196718601.978,3.599,74.0509719848633,51305.62822864436,-0.9114278330323078,40.97664543524413,34.72222222222223,1.901872656536286e-06
North Macedonia,65.175,2013,1.27,,,,,,,,,,
North Macedonia,59.95104039167687,2014,1.15,,1917557.0,9690853712.45803,28.215,61.4637603759766,5053.750012363664,,-8.015281332294787,-9.4488188976378,
North Macedonia,46.24850657108722,2015,1.01,8.0,1912430.0,10064519962.5655,26.395,62.2778282165527,5262.686719286719,4.134290505306071,-22.856206883262033,-12.173913043478258,4.1831596450589044e-06
North Macedonia,46.34337113805241,2016,0.99,8.0,1906313.0,10351178142.8536,24.312,63.738208770752,5429.946783583598,3.17822574701061,0.20511920059380628,-1.980198019801982,4.196582617859711e-06
North Macedonia,49.45131375579598,2017,1.04,8.0,1898657.0,10463154366.0785,22.857,65.41650390625,5510.818629209226,1.4893671862517888,6.70633693972178,5.050505050505061,4.213504598250237e-06
North Macedonia,51.59778597785978,2018,0.99,8.0,1889051.0,10764555646.4726,21.208,53.4467811584473,5698.393344844899,3.40375411089493,4.340576739100732,-4.807692307692313,4.234930660950922e-06
North Macedonia,57.48889648103861,2019,1.25,8.0,1876262.0,11185494933.6944,17.414,66.9626770019531,5961.584753991927,4.61869501137766,11.417370709872433,26.262626262626256,4.263796847135422e-06
North Macedonia,68.4476534296029,2020,1.59,8.0,1856124.0,10661068595.4055,16.575,68.3000030517578,5743.726494245805,-3.6543682382480958,19.062388773071646,27.200000000000003,4.310056871200415e-06
North Macedonia,73.28339177558176,2021,1.5,8.0,1837114.0,11141955229.994,15.801,69.5329437255859,6064.923151200197,5.592130079246882,7.064870895760267,-5.660377358490576,4.354656270650597e-06
North Macedonia,78.68135277691592,2022,1.66,8.0,1831712.0,11449348867.2054,14.476,70.5153350830078,6250.627209520601,3.061935884276701,7.365872226362713,10.666666666666668,4.3674988207753185e-06
North Macedonia,94.12348743406764,2023,1.85,8.0,1827816.0,11686665220.5256,13.174,71.9502563476562,6393.786475512634,2.2903184143501676,19.62616822429908,11.44578313253013,4.376808168874767e-06
North Macedonia,122.80173751163512,2024,2.25,8.0,1827816.0,11686665220.5256,13.417,71.9502563476562,6393.786475512634,2.2903184143501676,30.46875,21.62162162162162,4.376808168874767e-06
Norway,1405.2125,2013,1.39,,,,,,,,,,
Norway,1272.5091799265606,2014,1.35,,5137232.0,381081533533.12,3.486,77.0100021362305,74180.32386567708,,-9.443647852082126,-2.877697841726601,
Norway,1054.277180406213,2015,1.5,26.0,5188607.0,388159512245.53,4.296,77.4899978637695,74809.96580498967,0.8487991242161597,-17.149738718029706,11.111111111111093,5.010978861956591e-06
Norway,1056.628861947595,2016,1.62,25.0,5234519.0,392680500155.007,4.68,77.8399963378906,75017.4944737056,0.2774077844881262,0.2230610303521896,8.000000000000007,4.775988013416324e-06
Norway,1066.8663060278209,2017,1.56,24.0,5276968.0,402355151389.893,4.164,78.2200012207031,76247.41165568808,1.6395071451147603,0.9688779522221358,-3.703703703703709,4.54806623803669e-06
Norway,1100.169741697417,2018,1.56,23.0,5311916.0,405690275911.956,3.801,82.1473999023438,76373.62411452967,0.1655301551894306,3.121612847029742,0.0,4.329887746718886e-06
Norway,999.1732148957976,2019,1.65,23.0,5347896.0,410249333471.117,3.684,78.75,76712.28712583733,0.44342927972071955,-9.180085851642772,5.769230769230771,4.300756783602373e-06
Norway,920.9320643255662,2020,1.79,23.0,5379475.0,405005642244.497,4.424,82.4527740478516,75287.20595308967,-1.8576961085907784,-7.830589271590016,8.484848484848495,4.275510156660269e-06
Norway,1028.989480395282,2021,1.53,25.0,5408320.0,420836044228.583,4.359,75.2643356323242,77812.71156821027,3.354495074095598,11.733483962125968,-14.525139664804465,4.6225075439323115e-06
Norway,982.413900093081,2022,1.25,25.0,5457127.0,433484840343.081,3.231,79.070556640625,79434.62564515743,2.0843819014395804,-4.52634173522447,-18.300653594771244,4.5811651442233245e-06
Norway,964.0304064536148,2023,1.48,25.0,5519594.0,435564038441.666,3.572,79.070556640625,78912.3327624579,-0.6575128647709261,-1.8712574850299313,18.399999999999995,4.529318641914604e-06
Norway,1305.9633881476884,2024,1.94,25.0,5519594.0,435564038441.666,3.97,79.070556640625,78912.3327624579,-0.6575128647709261,35.4691075514874,31.081081081081074,4.529318641914604e-06
Poland,229.1,2013,1.7,,,,,,,,,,
Poland,254.3084455324357,2014,1.87,,38011735.0,459682079851.439,8.971,83.4899978637695,12093.16227873942,,11.00324990503523,10.000000000000009,
Poland,248.23178016726405,2015,2.12,99.0,37986412.0,480054118583.367,7.475,83.8682327270508,12637.522032440627,4.501384676349107,-2.389486260453988,13.36898395721926,2.6061950783875035e-06
Poland,218.74071177160732,2016,1.93,99.0,37970087.0,494605411858.337,6.141,84.8600006103516,13026.18589887184,3.0754752825238096,-11.88045639272497,-8.9622641509434,2.6073155955634234e-06
Poland,237.1831530139104,2017,1.9,105.0,37974826.0,520089746650.75,4.867,85.4903793334961,13695.645284872404,5.1393354217257325,8.431188274434852,-1.5544041450777257,2.7649896276022438e-06
Poland,271.1070110701108,2018,2.03,118.0,37974750.0,552573816155.989,3.835,86.0824737548828,14551.085027708912,6.2460711054001194,14.30281098177777,6.842105263157894,3.107327895509516e-06
Poland,249.38845234028017,2019,1.98,124.0,37965475.0,577884228677.544,3.267,86.5674667358398,15221.30906244539,4.606007273410917,-8.011064945942692,-2.463054187192115,3.2661253415109386e-06
Poland,259.7899573350837,2020,2.13,114.0,37899070.0,566120997479.772,3.155,87.7799987792969,14937.596027548221,-1.8639200724013816,4.170804581044174,7.575757575757569,3.007989378103473e-06
Poland,265.9356072680905,2021,1.97,114.0,36981559.0,605337233054.782,3.268,87.8078155517578,16368.6239689025,9.580041786611094,2.3656225960574595,-7.511737089201875,3.0826174742930658e-06
Poland,250.01551349674216,2022,1.88,114.0,36821749.0,637150470884.733,2.811,88.1990509033203,17303.644943229967,5.712275974473124,-5.986446845118887,-4.5685279187817285,3.0959963362957038e-06
Poland,436.0564691281415,2023,2.86,100.0,36687353.0,638035044435.602,2.743,66.9982604980469,17391.14414811017,0.5056692111244265,74.41176470588235,52.127659574468076,2.725734941956701e-06
