Country,Defence budget per capita,Year,Defence budget % GDP,Active Armed Forces
Slovenia,538.2441824387216,2024,1.58,6.0
Spain,283.12274368231044,2020,1.07,
Spain,320.0,2021,1.05,
Spain,320.1860846734493,2022,1.06,124.0
Spain,403.0,2023,1.2,124.0
Spain,400.0331988830282,2024,1.12,122.0
Sweden,710.3807023301607,2020,1.29,
Sweden,808.0,2021,1.3,
Sweden,792.7436823104692,2022,1.34,15.0
Sweden,875.0,2023,1.54,15.0
Sweden,1126.1275209432204,2024,2.01,15.0
Türkiye,136.92845421726287,2020,1.51,
Türkiye,116.0,2021,1.17,
Türkiye,77.21529373153922,2022,0.73,355.0
Türkiye,116.0,2023,0.84,355.0
Türkiye,165.4638535525907,2024,1.06,355.0
United Kingdom,962.6173285198556,2020,2.23,
United Kingdom,1090.0,2021,2.3,
United Kingdom,1063.5119789957334,2022,2.19,150.0
United Kingdom,1079.0,2023,2.21,144.0
United Kingdom,1152.4070741545142,2024,2.26,141.0
United States,2396.7627174269774,2020,3.71,
United States,2268.0,2021,3.26,
United States,2339.108631440761,2022,3.06,1360.0
United States,2666.0,2023,3.36,1326.0
United States,2755.459820043437,2024,3.32,1316.0
