Country,Defence budget per capita,Year,Defence budget % GDP,Active Armed Forces
Latvia,250.0038639876352,2017,1.77,5.0
Latvia,329.7011070110701,2018,2.13,6.0
Latvia,302.01913221728734,2019,2.11,7.0
Latvia,312.6813258943223,2020,2.27,6.0
Latvia,333.93050685368183,2021,2.1,9.0
Latvia,341.9329816940739,2022,2.12,7.0
Latvia,422.0850139621471,2023,2.4,7.0
Latvia,586.0657772261868,2024,3.15,7.0
Lithuania,121.4625,2013,0.78,
Lithuania,143.10893512851897,2014,0.89,
Lithuania,153.84707287933097,2015,1.14,16.0
Lithuania,206.69143527571373,2016,1.49,17.0
Lithuania,264.65610510046366,2017,1.74,18.0
Lithuania,330.5756457564576,2018,1.99,20.0
Lithuania,310.9258626580116,2019,1.96,21.0
Lithuania,330.57105349524124,2020,2.07,22.0
Lithuania,364.1504622250558,2021,1.98,23.0
Lithuania,433.11511014582686,2022,2.22,23.0
Lithuania,560.3288861309339,2023,2.6,25.0
Lithuania,698.5727582997208,2024,3.02,16.0
Luxembourg,451.2875,2013,0.41,
Luxembourg,434.1615667074664,2014,0.39,
Luxembourg,353.94265232974914,2015,0.37,1.0
Luxembourg,326.25733281188894,2016,0.35,1.0
Luxembourg,431.3253477588872,2017,0.45,1.0
Luxembourg,581.5682656826568,2018,0.57,1.0
Luxembourg,446.9559275708917,2019,0.48,1.0
Luxembourg,482.2448309812932,2020,0.53,0.0
Luxembourg,486.5412814791202,2021,0.48,0.0
Luxembourg,500.766366739063,2022,0.54,0.0
Luxembourg,652.9816940738442,2023,0.68,1.0
Luxembourg,757.3999379460131,2024,0.76,1.0
Montenegro,99.7375,2013,1.5,
Montenegro,117.96817625458996,2014,1.72,
Montenegro,98.16009557945044,2015,1.67,2.0
Montenegro,98.2479468126711,2016,1.56,2.0
Montenegro,107.14451313755796,2017,1.57,2.0
Montenegro,112.81549815498155,2018,1.44,2.0
Montenegro,97.16433208062864,2019,1.42,2.0
Montenegro,94.11552346570396,2020,1.65,2.0
Montenegro,113.3248326426522,2021,1.55,2.0
Montenegro,85.2994104871238,2022,1.12,2.0
Montenegro,163.24542351846105,2023,1.8,3.0
Montenegro,123.53707725721378,2024,1.24,3.0
Netherlands,608.3000000000001,2013,1.2,
Netherlands,611.1138310893513,2014,1.21,
Netherlands,494.5758661887695,2015,1.17,36.0
Netherlands,496.8009385999218,2016,1.16,35.0
Netherlands,542.1329211746522,2017,1.21,35.0
Netherlands,573.6974169741698,2018,1.23,35.0
Netherlands,566.7919371370003,2019,1.32,35.0
Netherlands,567.0265835247785,2020,1.39,34.0
Netherlands,605.1546063117628,2021,1.35,34.0
Netherlands,641.9515978901644,2022,1.45,34.0
Netherlands,692.6900403350916,2023,1.44,34.0
Netherlands,976.5311821284516,2024,1.94,34.0
North Macedonia,65.175,2013,1.27,
North Macedonia,59.95104039167687,2014,1.15,
North Macedonia,46.24850657108722,2015,1.01,8.0
North Macedonia,46.34337113805241,2016,0.99,8.0
North Macedonia,49.45131375579598,2017,1.04,8.0
North Macedonia,51.59778597785978,2018,0.99,8.0
North Macedonia,57.48889648103861,2019,1.25,8.0
North Macedonia,68.4476534296029,2020,1.59,8.0
North Macedonia,73.28339177558176,2021,1.5,8.0
North Macedonia,78.68135277691592,2022,1.66,8.0
North Macedonia,94.12348743406764,2023,1.85,8.0
North Macedonia,122.80173751163512,2024,2.25,8.0
Norway,1405.2125,2013,1.39,
Norway,1272.5091799265606,2014,1.35,
Norway,1054.277180406213,2015,1.5,26.0
Norway,1056.628861947595,2016,1.62,25.0
Norway,1066.8663060278209,2017,1.56,24.0
Norway,1100.169741697417,2018,1.56,23.0
Norway,999.1732148957976,2019,1.65,23.0
Norway,920.9320643255662,2020,1.79,23.0
Norway,1028.989480395282,2021,1.53,25.0
Norway,982.413900093081,2022,1.25,25.0
Norway,964.0304064536148,2023,1.48,25.0
Norway,1305.9633881476884,2024,1.94,25.0
Poland,229.1,2013,1.7,
Poland,254.3084455324357,2014,1.87,
Poland,248.23178016726405,2015,2.12,99.0
Poland,218.74071177160735,2016,1.93,99.0
Poland,237.1831530139104,2017,1.9,105.0
Poland,271.1070110701108,2018,2.03,118.0
Poland,249.38845234028017,2019,1.98,124.0
Poland,259.7899573350837,2020,2.13,114.0
Poland,265.9356072680905,2021,1.97,114.0
Poland,250.01551349674216,2022,1.88,114.0
Poland,436.0564691281415,2023,2.86,100.0
Poland,531.6506360533665,2024,3.25,164.0
Portugal,253.7875,2013,1.23,
Portugal,231.1015911872705,2014,1.12,
Portugal,218.02867383512543,2015,1.26,33.0
Portugal,208.54517012123583,2016,1.19,30.0
Portugal,213.3732612055641,2017,1.14,31.0
Portugal,216.88560885608857,2018,1.07,27.0
Portugal,209.7130167406901,2019,1.11,27.0
Portugal,215.45454545454547,2020,1.25,27.0
Portugal,216.07268090532355,2021,1.15,27.0
Portugal,185.30561588582063,2022,1.01,27.0
Portugal,200.7477505429724,2023,0.97,26.0
Portugal,223.54328265591064,2024,1.02,22.0
Romania,110.6,2013,1.27,
Romania,123.76988984088128,2014,1.4,
Romania,108.54241338112308,2015,1.4,71.0
Romania,118.63903011341417,2016,1.46,71.0
Romania,154.76429675425038,2017,1.73,69.0
Romania,177.53136531365314,2018,1.8,69.0
Romania,187.0413392552101,2019,1.98,70.0
Romania,189.00886117492615,2020,2.08,69.0
Romania,197.9407076824992,2021,1.95,71.0
Romania,224.2786224014893,2022,1.88,72.0
Romania,339.7269624573379,2023,2.41,70.0
Romania,372.8172510083773,2024,2.42,70.0
Russia,458.2000000000001,2013,3.18,
Russia,438.0293757649939,2014,3.17,
Russia,346.3918757467145,2015,3.82,798.0
Russia,289.18263590144704,2016,3.46,831.0
Russia,293.96058732612056,2017,2.89,900.0
Russia,277.22878228782287,2018,2.7,900.0
Russia,264.772804919713,2019,2.74,900.0
