Country,Year,log_Active Armed Forces per capita,Unemployment rate,Secondary education attainment rate,log_GDP per capita,log_Defence budget per capita,Defence budget % GDP,GDP per capita % change,Defence budget per capita % change,Defence budget % GDP % change,Education Interpolated
Finland,2016,-5.520606552996501,8.818,77.6111145019531,10.681198195895638,6.2591095103360495,1.3,2.2775438136519943,-1.2738440560566722,-1.5151515151515138,False
Finland,2017,-5.522953258313556,8.64,75.5199966430664,10.711351305170668,6.3828040822909875,1.41,3.0612318178969256,13.167017440012273,8.461538461538453,False
Finland,2018,-5.5242796687214755,7.361,80.3374557495117,10.721884073199528,6.386562447814127,1.36,1.058843289340894,0.3765437035175401,-3.5460992907801248,False
Finland,2019,-5.525381585626386,6.695,77.4499969482422,10.734189262424303,6.348527184930533,1.46,1.2381209560570205,-3.7321006544623225,7.352941176470584,False
Finland,2020,-5.439806620608884,7.759,82.5449523925781,10.70752697455203,6.362116673523027,1.53,-2.630998706782095,1.368224538881413,4.794520547945202,False
Finland,2021,-5.675494357734463,7.617,80.7345123291016,10.732433971068378,6.6837586383567436,1.99,2.521976708054985,37.939081711462855,30.065359477124186,False
Finland,2022,-5.678213802999524,6.719,81.3429718017578,10.74411087994323,6.626000378044454,2.05,1.1745350109886976,-5.612190734483413,3.015075376884413,False
Finland,2023,-5.44959087557183,7.151,81.3429718017578,10.72741105728425,6.823476182610086,2.37,-1.6561153609776946,21.832358674463936,15.60975609756099,True
France,2015,-5.76334860608182,10.354,69.4400024414062,10.510598309049094,6.494716762006182,1.92,0.7080305774510576,-12.945330621600826,4.918032786885229,False
France,2016,-5.795115566890496,10.057,69.6699981689453,10.516523159993778,6.4751355938813955,1.9,0.5942437589637306,-1.9390702259524217,-1.041666666666663,False
France,2017,-5.798017588054008,9.409,70.0800018310547,10.534243183749568,6.4995545933331815,1.88,1.7877954845162414,2.4719584897328284,-1.0526315789473717,False
France,2018,-5.796688519069741,9.018,71.1531143188477,10.546983342602925,6.536707641101304,1.91,1.282166042370525,3.785184959287613,1.5957446808510634,False
France,2019,-5.80001411036002,8.415,72.1900024414062,10.563729425514385,6.43660032100062,1.91,1.688708453325538,-9.52596839962535,0.0,False
France,2020,-5.808173702972803,8.009,73.3635330200195,10.483163766071808,6.445766702809952,2.08,-7.740567543409038,0.9208521745571074,8.900523560209429,False
France,2021,-5.811742726296694,7.874,76.7396774291992,10.54615314005429,6.481195794742554,1.99,6.501552229758212,3.6064180214642416,-4.326923076923084,False
France,2022,-5.815012651282342,7.308,74.4087524414062,10.568266715520924,6.369660813560874,1.94,2.2359892878681453,-10.553989841532507,-2.5125628140703515,False
France,2023,-5.813361828488148,7.335,78.039665222168,10.574324819957974,6.464512908153341,1.95,0.6076491863967526,9.94962216624684,0.5154639175257714,False
