"Jordan","1,933","2,039","2,120","176","184","190","3.97","4.01","3.98","101","65","15"
"Kuwait","7,812","7,750","7,798","2,546","2,497","2,485","4.25","4.73","4.82","18","24","7"
"Lebanon","248","239","540","47","45","101","1.01","1","n.k.","60","0","20"
"Libya","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k."
"Mauritania","226","255","263","54","60","61","2.36","2.39","2.44","16","0","5"
"Morocco","6,071","6,270","6,625","165","169","177","4.64","4.34","4.22","196","150","50"
"Oman","6,432","6,507","6,659","1,709","1,698","1,707","5.75","5.98","6.05","43","0","4"
"Palestinian Territories","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","0","0","n.k."
"Qatar","8,419","9,021","9,659","3,357","3,562","3,785","3.57","4.23","4.36","17","0","5"
"Saudi Arabia","65,333","66,133","71,733","1,848","1,840","1,963","5.89","6.19","6.52","257","0","25"
"Syria","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k."
"Tunisia","1,146","1,207","1,319","96","101","109","2.57","2.49","2.51","36","0","12"
"United Arab Emirates","20,972","21,855","22,268","2,115","2,191","2,220","4.17","4.25","4.09","63","0","0"
"Yemen","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","122","0","0"
"Total**","168,411","182,538","209,052","980","1006","1135","3.57","4.02","4.26","2,485","1,683","1,052"
"Latin America and the Caribbean","","","","","","","","","","","",""
"Antigua and Barbuda","8","8","11","82","80","106","0.44","0.4","0.48","0","0","0"
"Argentina","3,352","2,788","2,236","72","60","48","0.53","0.43","0.37","72","0","31"
"Bahamas","94","106","105","266","262","256","0.72","0.74","0.71","2","0","0"
"Barbados","42","44","52","140","144","170","0.68","0.65","0.72","1","0","0"
"Belize","23","28","30","57","69","71","0.82","0.92","0.89","2","1","1"
"Bolivia","481","473","475","40","39","39","1.09","1.04","0.99","34","0","37"
"Brazil","22,966","25,233","24,396","106","115","111","1.18","1.16","1.11","375","1,415","395"
"Chile","3,672","4,244","4,139","199","229","222","1.22","1.26","1.26","69","19","45"
"Colombia","5,021","5,574","7,728","102","113","156","1.45","1.53","1.85","269","35","165"
"Costa Rica","418","495","570","80","95","108","0.6","0.57","0.6","0","0","10"
"Cuba","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","49","39","27"
"Dominican Republic","761","891","988","71","83","91","0.67","0.73","0.78","57","0","15"
"Ecuador","1,581","1,666","1,633","91","92","89","1.36","1.4","1.34","40","118","1"
"El Salvador","257","251","261","39","38","39","0.8","0.74","0.73","26","10","26"
"Guatemala","408","411","449","23","23","25","0.43","0.39","0.4","18","64","25"
"Guyana","89","97","203","112","123","255","0.61","0.57","0.88","3","1","0"
"Haiti","13","16","28","1","1","2","0.07","0.08","0.11","1","0","9"
"Honduras","379","440","456","40","47","48","1.21","1.29","1.24","15","60","8"
"Jamaica","231","247","289","82","88","102","1.36","1.28","1.4","6","3","0"
"Mexico","7,027","8,613","10,191","54","66","78","0.48","0.48","0.55","287","82","137"
"Nicaragua","84","95","104","13","14","16","0.53","0.53","0.53","12","0","0"
"Panama","847","903","946","195","205","212","1.11","1.08","1.08","0","0","28"
"Paraguay","279","298","310","38","40","41","0.67","0.69","0.69","14","165","15"
"Peru","1,821","1,953","2,138","56","60","66","0.75","0.73","0.75","81","188","77"
"Suriname","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","2","0","0"
"Trinidad and Tobago","481","513","519","343","364","369","1.6","1.83","1.85","5","1","0"
"Uruguay","556","597","592","163","175","173","0.79","0.77","0.72","21","0","1"
"Venezuela","46","502","649","2","16","21","0.05","0.51","0.61","123","8","220"
"Total**","50,938","56,488","59,495","95","102","112","0.85","0.85","0.88","1,581","2,207","1,272"
"Sub-Saharan Africa","","","","","","","","","","","",""
"Angola","1,837","1,263","1,002","53","35","27","1.29","1.15","0.88","107","0","10"
"Benin","97","128","154","7","9","10","0.56","0.65","0.72","12","0","5"
"Botswana","499","481","597","209","199","244","2.45","2.48","2.99","9","0","0"
"Burkina Faso","467","827","1,023","21","37","44","2.47","4.08","4.68","21","0","34"
"Burundi","67","81","123","5","6","9","1.7","1.91","2.87","30","0","1"
"Cabo Verde","11","15","17","19","25","28","0.5","0.57","0.63","1","0","0"
"Cameroon","417","457","539","14","15","17","0.94","0.93","1.01","38","0","9"
"Central African Rep","39","62","70","7","11","12","1.58","2.37","2.47","14","0","1"
"Chad","318","358","557","18","19","29","1.96","2.03","2.98","33","0","12"
"Congo","263","285","182","47","48","30","1.88","2.01","1.21","10","0","4"
"Côte d’Ivoire","608","682","663","6","23","22","0.87","0.86","0.76","27","0","n.k."
"Dem Republic of the Congo","375","744","891","13","7","8","0.57","1.11","1.23","128","0","0"
"Djibouti","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","8","0","5"
"Equatorial Guinea","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","2","0","0"
"Eritrea","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","302","n.k.","0"
"Ethiopia","425","1,538","623","4","13","5","0.36","0.96","0.43","503","0","0"
"Gabon","278","265","321","119","111","131","1.36","1.32","1.54","5","0","2"
"Gambia","14","14","15","6","6","6","0.63","0.58","0.57","4","0","0"
"Ghana","270","340","287","8","10","8","0.37","0.44","0.38","19","0","0"
"Guinea","447","620","521","34","46","37","2.28","2.69","2.04","10","0","3"
"Guinea-Bissau","25","25","25","12","12","12","1.43","1.26","1.16","4","0","0"
"Kenya","1,340","1,241","1,211","24","22","21","1.17","1.14","1.04","24","0","5"
"Lesotho","37","35","35","17","16","16","1.65","1.57","1.51","2","0","0"
"Liberia","19","16","18","3","3","3","0.47","0.37","0.37","2","0","0"
"Madagascar","103","107","125","4","4","4","0.68","0.68","0.72","14","0","8"
"Malawi","92","98","84","4","5","4","0.73","0.77","0.77","11","0","4"
"Mali","827","1,083","1,228","40","51","56","4.51","5.36","5.67","21","0","20"
"Mauritius","235","241","257","180","184","196","1.82","1.65","1.62","0","0","3"
"Mozambique","170","208","314","5","6","9","0.9","0.99","1.39","12","0","0"
"Namibia","357","341","366","131","124","131","2.84","2.76","2.78","12","0","6"
"Niger","243","332","439","10","13","17","1.57","1.97","2.24","39","0","48"
"Nigeria","2,827","2,148","1,043","13","9","4","0.59","0.59","0.52","143","0","80"
"Rwanda","177","192","164","13","14","12","1.33","1.36","1.2","33","0","2"
"Senegal","422","449","519","24","24","28","1.52","1.45","1.54","14","0","5"
"Seychelles","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","0","0","0"
"Sierra Leone","24","21","34","3","2","4","0.34","0.32","0.46","9","0","0"
"Somalia","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","19","0","1"
"South Africa","3,195","2,889","2,860","56","48","47","0.79","0.76","0.71","69","0","15"
"South Sudan","61","65","56","5","5","4","0.76","0.9","1.06","90","0","0"
"Sudan","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","n.k.","104","0","60"
"Tanzania","1,024","1,139","1,146","16","17","17","1.38","1.44","1.43","27","80","1"
"Togo","170","197","195","20","23","22","2.08","2.17","2","14","0","5"
"Uganda","1,048","1,012","1,074","23","21","22","2.21","1.98","1.93","45","10","1"
"Zambia","450","403","367","23","20","18","1.55","1.43","1.42","17","3","1"
"Zimbabwe","349","98","161","23","6","9","1.07","0.28","0.45","29","0","22"
"Total**","19,630","20,498","19,305","32","32","34","1.36","1.47","1.52","2,038","93","373"
"Summary","","","","","","","","","","","",""
"North America","862,983","943,821","994,963","1,559","1,666","1,763","2.17","2.22","2.27","1,378","826","6"
"Europe","342,727","392,618","457,385","464","535","632","1.45","1.57","1.74","1,972","1,767","661"
"Russia and Eurasia","85,362","106,834","158,473","156","254","319","1.96","3.57","4.15","2,193","2,378","1,053"
"Asia","497,530","510,564","534,037","308","323","352","1.6","1.7","1.76","8,983","13,287","3,508"
"Middle East and North Africa**","168,411","182,538","209,052","980","1,006","1,135","3.57","4.02","4.26","2,485","1,683","1,052"
"Latin America and the Caribbean","50,938","56,488","59,495","95","102","112","0.85","0.85","0.88","1,581","2,207","1,272"
"Sub-Saharan Africa","19,630","20,498","19,305","32","32","34","1.36","1.47","1.52","2,038","93","373"
"Global totals","2,027,581","2,213,360","2,432,710","318","348","397","1.59","1.8","1.94","20,629","22,240","7,925"
