"","Defence spending (current USDm)",,,"Defence spending per capita (current USD)",,,"Defence spending % of GDP",,,"Active armed forces (000)","Estimated reservists (000)","Active paramilitary (000)"
"Zambia","394","358","268","23","21","14","1.69","1.85","1.24","15","3","1"
"Zimbabwe","67","39","287","5","3","19","0.34","0.18","1.11","29","0","22"
"Total**","16,506","17,007","17,738","32","32","32","1.35","1.49","1.42","1,463","213","268"
"Summary",,,,,,,,,,,,
"North America","764,463","794,671","777,251","1,383","1,431","1,432","2.28","2.47","2.22","1,462","878","5"
"Europe","299,222","313,483","350,845","396","411","469","1.40","1.47","1.48","1,967","1,826","732"
"Russia and Eurasia","55,453","53,500","55,973","116","117","124","2.13","2.38","2.20","1,422","3,778","880"
"Asia","433,857","452,394","487,574","289","287","316","2.14","2.25","2.11","9,231","13,295","3,508"
"Middle East and North Africa","160,476","161,391","166,229","955","920","956","4.45","4.99","4.36","2,572","1,683","1,152"
"Latin America and the","55,044","49,176","50,113","116","115","109","1.07","1.18","1.05","1,488","2,132","1,248"
"Sub-Saharan Africa","16,506","17,007","17,738","32","32","32","1.35","1.49","1.42","1,463","213","268"
"Global totals","1,785,020","1,841,624","1,905,723","297","297","319","1.83","1.99","1.85","19,605","23,803","7,793"
